,About the Creative City,Added Value
1,"About the Creative City: As the second largest city after the capital Lomé, Sokodé, a city of 95,070 inhabitants, is renowned for the art of weaving, an activity that is highly regarded among craftsmen and women. Although intended to produce the day-to-day clothing of the city’s inhabitants, the weavers’ wrappers are also used to sow the tunics and large embroidered boubous that Tem knights wear on festival days. Weaving accounts for over 35% of all activity among the many guilds within the craft sector of Sokodé. The strength and dynamism of the craft sector are major drivers of the local economy and contribute significantly to the income of both the city and the country.
Sokodé hosts major events that play a role in promoting the crafts and folk art sector, including the Togo Sokodé International Fair, the Togo Craft Fair and annual events such as the Gadao-Adossa Festival. The name Gadao-Adossa is the common term designating two major festivals, namely Gadao for the Tem, and Adossa for the community of Didaouré. Sokodé also hosts the Inter-Professional Grouping of Craftsmen and Women of Togo (GIPATO), a national weavers’ training centre, which is currently training a number of trainees in new methods for weaving wrappers and traditional clothing.
The Sokodé municipality, through its 2015-2019 Communal Development Plan, has established culture as a priority for sustainable urban development through two programmes. The first seeks to promote local tourism, crafts and the historical values of the commune through the organisation of a number of training workshops supporting craftsmen and women in the development of their businesses and a feasibility study for the setting in place of food-processing and semi-traditional crafts units. The second programme envisages the building of a communal museum, supporting the organisation of cultural festivals and building a large capacity auditorium.","Added Value: As a Creative City of Crafts and Folk Art, Sokodé envisages:
implementing the Projet SOS Artisanat [SOS Crafts Project] to promote the know-how and craft trades and to encourage younger generations and excluded women to become involved in the sector to make it a strategic socio-economic sustainable development tool;
helping to revitalise and promote the works of craftsmen and women and artists through the creation of a crafts and folk art farm in the Central Region;
fostering the participation of other Creative Cities in the Foire Artisanale et Culturelle de Sokodé [Crafts and Culture Fair], organised annually to promote socio-economic development based on crafts and culture, skills-promotion and capacity-building; and
implementing a joint-working framework, to enable dialogue among craftsmen and women on current and future issues facing the crafts and folk art sector, sharing experience, presenting and promoting concepts and stimulating research."
2,"About the Creative City: Durán, a city of an approximate 500,000 inhabitants, is known as the “Railway Town of Ecuador” thanks to its history as the first railroad hub of the country. As the main meeting point between the highlands and the coast of Ecuador, Durán has retained its heritage through the localised exchange of cultural practices and knowledge, which has impacted several of its current forms of folk art, especially urban art. Deeply rooted in this historical legacy, the city considers culture and creativity as mediums for collective memory, urban well-being, and social cohesion.
Since 2007, the Festival Memories of the Railroad has been held annually in honour of the former railway workers of the ancient Eloy Alfaro Railroad. The event has given rise to an ongoing two-year project undertaken by the municipality called History on Frontages. This scheme gives free rein to the local artists and allows them to paint one hundred murals on house frontages illustrating the history of the city. With strong participation from the youth, the city sees urban art as a tool for civic awareness and demonstrates this by the implementation of a second initiative entitled Youth for Human Rights involving more than 150 young artists.
Through a variety of artistic forms, Durán hosts many cultural events to establish links between modern creative fields and historical customs and folk art. With the aim of sustaining the city’s cultural heritage and nurturing its rich history, Cultural Nights is a flagship project supported by the municipality which showcases works by local artists. The Durán Convention Centre Luis Sánchez Borja also plays a prominent part in fostering the city’s cultural life, turning this once industrial city into a lively place for creativity to thrive.","Added Value: As a Creative City of Crafts and Folk Art, Durán envisages:
increasing the number of cultural events to foster the diversity and quality of the cultural offerings and the capacity to participate in cultural creation;
nurturing the city’s identity, history and heritage through the implementation of the projects Memories of the Railway and History of Frontages, aimed at providing creative spaces to local artists;
encouraging youth and people from vulnerable and disadvantaged groups to participate in the city’s cultural life and to nurture social inclusion and civic awareness; and
enhancing cooperation at the local and the international levels by exchanging best practices with other Creative Cities of Crafts and Folk Art."
4,"About the Creative City: Porto-Novo (pop. 300,000) is the capital of Benin and one of the oldest cities in the country. Building on its colonial past and migratory flows recorded over the centuries, Porto- Novo possesses a unique cultural identity and a creative social dynamic based on sharing and peaceful coexistence. Artisanship in the city of Porto-Novo is highly diverse and organised, with 42 craft guilds. Moreover, families have specialised in specific crafts such as blacksmithing, pottery, wickerwork and the manufacture of musical instruments. The participation of artists and artisans and women in reflection on the city is vital in order to develop a sustainable city project. Through their creativity, they help anchor cultural values, togetherness and cohesion in urban development projects.
The city has organised the first International Festival of Arts and Culture of Porto-Novo. It has also hosted and supported a number of cultural events such as the Festival-Ateliers Éclosions Urbaines [Urban Outbreak Festival-Workshops], a public forum for the expression and exhibition of contemporary art in Porto-Novo. The festival brought together several artists to work on renovating and upgrading the city’s traditional squares. The 4th Porto-Novo West-African Urban Planning Workshops Event had also united architects, geographers, landscape gardeners, sociologists and artists, working jointly on the theme ‘Porto-Novo, Green City’.
As a prelude to the roll-out of its 2015-2019 Municipal Development Plan, Porto-Novo Municipality organised the Forum des forces vives de la cité [Forum on the City’s Vital Forces] in September 2010 to develop Porto-Novo based on the theme of ‘Porto-Novo, City of the Future’. The 2015- 2019 Municipal Plan identified, among the chief restrictions associated with developing the art and craft sectors, the lack of training of craftsmen and women and the lack of resources for the development of arts and crafts, along with the absence of a municipal policy to promote arts and crafts. In this regard, the city is seeking to increase the ways in which culture can play a role to make it an engine for human and urban development.","Added Value: As a Creative City of Crafts and Folk Art, Porto-Novo envisages:
implementing a strategy to revitalise art, culture and tourism, working jointly with cultural actors to foster the emergence of a mechanism for the participation of artists in regional promotion and development, and to support local foundational artistic creation projects in the area of crafts and folk art;
developing youth training programmes for crafts, and capacity-building for artists notably through the use of new technologies;
consolidating the Porto-Novo International Festival and making it an event that promotes local arts and crafts with the participation of other Creative Cities;
developing cooperation with other cities in the Network within a framework of concrete, inclusive projects that foster a dynamic of togetherness among peoples and South-South and North-South cooperation;
enhancing the visibility of UNESCO and promoting actions in the field of crafts and folk art; and
creating links between Beninese and international actors in crafts and folk art."
7,"About the Creative City: Flowing through the golden desert and around emerald islands, the Nile forms the lifeline of the city of Aswan and its unique archipelago. In Ancient Egypt, Aswan, known as “Sono” meaning “the market”, was a commercial center for convoys going to and from Nubia. Aswan was also known as the Land of Gold, given its treasured history as a cemetery for the Nubian kings who had presided over the city over thousands of years. 
 
Aswan has remarkable heritage in crafts and folk arts, creative exchange, arts education, and civil engagement.  Its traditional crafts include beadwork, tablecloth production, palm branch and leaf creations, as well as clay and needle-work products. 
 
Folk traditions and customs in clothing and jewelry are present at local ceremonies such as weddings, funerals and other important events. Aswan is celebrated for its more than 50 traditional folk dances that are still part of the local culture today, thanks to initiatives such as the Aswan Folk Troupe comprised of dancers and musicians who perform around the country. 
 
To preserve and maintain these long-lasting traditions in crafts and folk arts, Aswan also has several institutions such as the Aswan Museum and the Nubia Museum, which houses an anthropology department focusing on the preservation of the folk arts from Aswan. The city also organizes numerous events celebrating the local culture drawing artists from around the world, such as the International Symposium of Sculpture which focuses on reviving the Egyptian art of carving on the hard stone of Aswan. 
 
Aswan’s museums, International Symposium of Sculpture and the Aswan Folk Troupe are illustrations of the local community’s efforts to support sustainable development, mutual understanding and the fight against poverty and illiteracy though culture and creativity.","Added Value: As a Creative City of Crafts and Folk Art, Aswan envisages:
 
promoting the sustainable development of local communities;
organizing cultural events; 
developing capacity building initiatives for artisans; and
engaging in exchange and cooperative initiatives within the crafts field and with the UCCN as a whole."
9,"About the Creative City: Viljandi, with its population of 17,400 inhabitants, has a high concentration of cultural and educational institutions, including the Tartu University Viljandi Culture Academy which specializes in native crafts. Excelling in a number of artistic fields, the Viljandi Folk Arts sector plays a huge role in the city’s commercial life, and today, there are 2,780 registered enterprises in Viljandi, 738 of which are connected to creative fields, including two active blacksmith’s shops, as well as two ceramics shops and the only prototyping wool mill in Estonia. Employing over 2,500 people, the crafts and folk art industry within Viljandi not only provides cultural, but also significant social benefits to the region.
 
Honouring the country’s crafts and folk art Heritage, Viljandi hosts the Estonian Traditional Music Centre, which organizes the annual Viljandi Folk Music Festival with hundreds of performers and over 20,000 visitors from a number of countries. Furthermore, since 2014, the city has held the annual Craft Camp Estonia. Regarded as Estonia's most prestigious crafts and folk art event, this camp promotes and demonstrates traditional Estonian handicraft techniques and explores the integration of old and new production methods.
 
Viljandi takes pride in assimilating heritage in contemporary society, and thus preserving and developing local and national culture through modern methods, with the emphasis on cooperation on a national and international scale. In order to support the creative sector, the city provides financial support in form of stipend to its professional artists and craftspeople living and working in Viljandi. This is to provide members of the creative industry with a basic income to allow them to work full-time on their creative endeavours, as well as to publish and promote their work. The stipend is allocated four times a year, and whilst it is not designated specially for professionals in the folk arts field, the funding provides vital economic support for those in the industry.","Added Value: As a Creative City of Crafts and Folk Art, Viljandi envisages:
 
establishing the City Craftmaster Scholarship to be allocated twice a year, of which one for a creative professional from Estonia, and one for a creative professional from another UNESCO Creative City;
strengthening awareness of crafts and folk art among the general public by promoting the work of local masters and researchers;
providing greater support for craftspeople and artists with disabilities, by showcasing their artistic talents through exhibitions and other initiatives by the Paul Kondas Centre for Naive Art; and
offering partner cities multifaceted CraftCamp handicraft training programmes and courses to further promote arts and crafts at a local level."
12,"About the Creative City: City of painters, blacksmiths and master paper makers (Mastri chartai), Fabriano, designated a UNESCO creative city in 2013, is recognized internationally for its rich crafts stemming from a very old tradition and great savoir-faire.
Since the 12th century, the city has been a centre of production and dynamic trade, particularly in the handicraft sector: blacksmiths, potters, weavers and master paper makers have forged its reputation.  The centuries have transformed these artisans into industrial craftsmen, especially in the paper sector.
Today, Fabriano is a dynamic handicraft centre, powered by its high-level education and promotional projects. Innovative initiatives allow all generations of craftsmen to meet, for example in the Shop-Workshop Centre, where everyone can rediscover traditional crafts and products of excellence.
Fabriano supports various forms of artistic expression through numerous cultural events such as exhibitions and festivals, like Poïesis. Cultural infrastructure such as the Paper and Watermark Museum, the multimedia library, the Gentile Theatre, the Museum of the Piano and the Picture Gallery also attract a large number of visitors.
Heir of an exceptional history and tradition in crafts, Fabriano has managed to successfully marry trade, tourism and industry. Its main objective is to preserve this ancestral know-how and harmonize it with today’s industries and new technologies.","Added Value: As a Creative City of Craft and Folk Arts, Fabriano envisages:
Organizing, with Turin and Bologna, the ""Design and craftsmanship"" Forum addressed to the creative cities of Design, Media Arts, Film and Music in the framework of the EXPO 2015 Fabriano, and offering the cities of crafts and folk arts an opportunity to show their products and develop exchanges between designers;
Developing ""The new workshops of the creative city"", a training route promoted by the Merloni Foundation to help new generations of international artisans make new technologies their own;
Creating the International Centre of Watercolor (Centro Internazionale dell'acquarello) in Fabriano for housing permanent exhibitions and restoration workshops and contributing to promote the artistic use of handmade paper;
Organizing several artistic and cultural events in celebration of the 70th anniversary of UNESCO."
19,"About the Creative City: With 400,000 inhabitants, Tétouan is the second largest economic hub in the Tanger-Tétouan-Al Hoceima region in Morocco. Craft activities date back to the foundation of the city in the 15th century. They still have an influence in the city itself through urban planning that establishes craft neighbourhoods encompassing Zellige, Taajira embroidery, encrusted and painted wood and wrought ironwork. Building on its Arab- Andalusian heritage, the arts and craftwork of Tétouan is set apart by a unique know-how perpetuated by its master-craftsmen and women. With nearly 6,000 craft units and over 150 young artisans joining the job market each year, the craft sector in Tétouan has an undeniable vitality.
Crafts are a unifying activity for communities, as well as being established as an active tertiary sector that has shown itself capable of renewal through the interest of artists and researchers. A number of local events in Tétouan, namely the craft forum Rencontres des artisans, offer a platform for public discussion on development of the sector. Each year on the fringes of the Women’s Voices International Music Festival, local crafts led by women are showcased at the pop-up event Marché au fil du temps.
As part of Tétouan’s Urban Development Programme, which seeks to restructure and upgrade under-equipped neighbourhoods, 8 libraries and three 3 local community spaces have been built, thereby providing unique venues to promote access to culture for all, notably for young people. In 2016, in the craft sector, Tétouan’s Municipality fostered and supported the creation of the federation of craft guilds, which provided considerable support to structure the sector and enable networking among its various actors. As part of the Regional Development Plan for Crafts, Tétouan benefited from a number of actions targeting infrastructure renewal, modernisation of production techniques in the weaving industry, and the consolidation of training bodies for craftwork.","Added Value: As a Creative City of Crafts and Folk Art, Tétouan envisages:
combining traditional know-how and conceptual capacity to energise research and development and promote creativity and innovation in craftwork through the creation of the Club des 3A, a training programme in architecture, craftwork and art;
working towards the dissemination of know-how for the craft professions of Tétouan;
consolidating cultural outreach through the organisation of a number of events such as Tétouan Craftwork Spring Festival, the Artistic Creativity Prize and the Tétouan Architecture Week;
supporting the structuring of the local craft sector to improve contribution to the development of the social and solidarity economy through private/public sector partnerships, notably through the project to revitalise the leather work crafts of Tétouan; and
organising a summer workshop around the theme of ‘Traditional Building in all its Dimensions’ to promote and disseminate craftwork professions linked to the restoration of old buildings, and open to students of other Creative Cities within the Network."
31,"About the Creative City: The city of Nakuru, with its rich cultural heritage, takes pride in a range of cultural assets that instill culture and creativity. In the creative field of Crafts and Folk art, Nakuru is endowed with venues, annual cultural events, cultural landmarks, and icons that constitute the city's main cultural assets. Nakuru’s crafts and folk art sector includes innovative artists who express an authentic cultural identity. These artists come from the fields of sculpture, visual arts, beadworks, fabric making and design, metalwork, pottery, storytelling, folklore, among others. They are the heart of Nakuru’s creative economy and its structure, which brings together thirteen creative sub-sectors that use culture and creativity as strategic tools for economic prosperity. In light of the city’s recognition of the importance of mainstreaming creativity for the achievement of development goals, it has initiated hands-on programmes with the purpose of harnessing the potential of creative industries by training professionals and building networks thereby propelling the sector’s growth. Furthermore, the city also organized a number of events namely, Nakuru International Investment Conference 2018 and Nakuru Business Expo 2020, to provide professionals in crafts and folk art with opportunities to exhibit their art works to attract investment and help distribute their creations. With a view to broadening communication channels to create awareness and promote the Network and itself as a Creative City, Nakuru will provide a deliberate development of partnership with the national, regional and international media houses, related digital platforms, popular bloggers and influencers.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
	• Providing new creative spaces by building cultural centres, music studios and art galleries in order to develop hubs of creativity and innovation and therefore broaden opportunities for creators and professionals in the cultural sector; and
	• Fostering the development of a community festival, aimed at showcasing the local cultural heritage while leaving no one behind."
35,"About the Creative City: Influenced by the presence of the samurai and their lifestyle, Kanazawa is recognized for its many artisan workshops characterizing the city as a City of Crafts and Folk Arts. Crafts and the samurai-influenced culture continue to play an important part of citizens’ daily lives. In the past, the feudal lords invited skilled artisans from Kyoto and Edo (currently Tokyo) to introduce craft techniques that combined dynamism with the elegance of the samurai culture. This combination is what makes Kanazawa’s crafts unique. 
 
Today, many fields of craftwork continue to exist and have significantly contributed to improving people’s daily lives. Some examples are the kaga-yuzen silk dying technique which is still used for making kimonos or gold leaf and lacquer ware.
 
Local artisans are now looking to build synergies with other creative fields in order to combine traditional crafts with innovation and new technologies. Kanazawa’s creative economy is driven by a highly sensitive consumer market, cultural investments, and the citizens’ taste for craftwork. 
 
The Kanazawa Citizens’ Art Center, founded in 1996, open 24 hours a day, 365 days a year, offers free areas for artistic activities. Inaugurated in 2004, the 21st Century Museum for Contemporary Art makes modern art and craft collections available to over 1.5 million visitors per year.","Added Value: As a Creative City of Crafts and Folk Arts, Kanazawa envisages:
maintaining traditions and traditional techniques as well as developing and innovating in new technology;
developing human resources domestically and internationally with other Creative Cities of all creative fields;
protecting cultural diversity through internationalization;
developing cultural exchanges between Creative Cities involving the exchange of experiences, visions, knowledge, and skills;
promoting craft tourism and creative tourism;
strengthening the links between related creative fields such as crafts and design or gastronomy and crafts;
promoting new industries and city development; and
contributing to the expansion of the UCCN by supporting candidate cities."
44,"About the Creative City: Situated at an altitude of 2,500 meters, Bamiyan, also called the “Land of Shining Light”, is the largest city of the central region of Afghanistan. Declared as a UNESCO World Heritage Site in 2003, the cultural landscapes and archaeological remains of the city – especially the carved monumental Buddha statues – continue to testify to Bamiyan’s rich history. Known for its location on the ancient Silk Road, Bamiyan’s cultural assets have benefited from a diversity of cross-cultural influences and features that are particularly reflected in the field of crafts and folk art.
Bamiyan nurtures creativity and culture as key levers for urban renewal and for the improvement of social conditions, with special attention given to the involvement of women. Envisioned as a trailblazer in developing crafts and folk art, the Department of Rural Rehabilitation and Development has conducted a project through the AREZO NGO and the Afghanistan Rural Enterprise Development Programme (AREDP) on carpet weaving which largely employs women and people from vulnerable communities.
Recognized as the 2015 capital of the South Asian Association for Regional Cooperation (SAARC), Bamiyan asserts its commitment to collaborating on an international level, to promoting collective self-reliance and to fostering socio-cultural development. At the local level, the municipality has adopted the Bamiyan Cultural Master Plan as a central policy whose main purpose is to enhance inclusive and sustainable urban development through cultural and creative industries.","Added Value: As a Creative City of Crafts and Folk Art, Bamiyan envisages:
establishing the Bamiyan Cultural Centre, which aims to build the capacities of the local youth through training programmes and to foster the dissemination of cultural activities and expressions;
mapping the creative industries in Bamiyan as a first step in the process of identifying the best ways of offering opportunities and facilities to the local creators;
positioning the city as a creative hub in the field of Crafts and Folk Art, at the national and international levels; and
enhancing cooperation and exchange with other Creative Cities of Crafts and Folk Art."
