,About the Creative City,Added Value
8,"About the Creative City: Fortaleza is the capital of the northeastern Brazilian state of Ceará, with an estimated population of 2,643,247 inhabitants. Over the years, the city has witnessed intense economic, social and cultural changes. The creative economy is the driving force behind the city’s economic and social development, with 914 companies in the field of creative industry. Fortaleza is home to 23% of design establishments in Northeastern Brazil and the sector generates US$ 135 million for the local area, representing 0.9% of the city's economy.
Fortaleza plays host to a huge range of design events, including the Ceará Design Week. This annual event held in March, hosts a variety of seminars, workshops, product and book launches, all seeking to integrate the local community with national and international industry. Festival OFF Fortaleza also promotes artistic production from the State of Ceará and Brazil, bringing to the fore the next generation of artists and entrepreneurs related to the sectors of audiovisual, graphic arts, filmmakers, programmers and illustrators. Finally, founded in 2014, Mais Design Ceará is an annual event that brings together the big names in Brazilian and South American design, with more than 2,500 actors taking part in lectures and workshops.
Public policies play a fundamental role in preserving the sector and the Municipal Cultural Policy Council is responsible for the formulation of cultural policies, specifically those related to design. SEBRAETEC is a programme that aims to increase the competitiveness of micro and small enterprises through access to services in innovation and technology, especially consulting in design. Alongside this, STARTUP CE promotes the competitiveness and sustainable development of digital startups through the diffusion of the entrepreneurial culture and the professionalization of the management of its enterprises with capacity building, innovation and marketing. On a wider scale, Regional Nordeste da Cadeia de Valor da Economia Criativa advocates the development of network strategies for the creative economy, based on methodologies, governance models, qualification of the technical team and knowledge management.","Added Value: As a City of Design, Fortaleza envisages:
creating an exchange programme with emphasis on the Ibero-American cities, in transversal actions involving design and other segments of creative economy;
hosting annual events of international scope and with the participation of other invited UCCN cities;
sharing best practices to be made available on the web platform of Fortaleza Criativa Programme;
hosting exchanges between young graduates from Art Schools with creative young people from Creative Cities; and
sharing design methodology and tools through the Observatory of Fortaleza Design platform."
13,"About the Creative City: Mexico City has transformed into a world-renowned centre of art and a hotspot for creativity. The constantly growing and developing megalopolis, now home to 25 million inhabitants, has been celebrated for its innovative approach to design after being awarded the title of Official World Design Capital in 2018. Widely acknowledged as lever for social, economic and cultural change, design and creativity are at the heart of the city's social development strategy. Currently the design industry generates US$ 41.93 billion of the city's total income and employs 68,254, generating career opportunities as well as US$229,134 in turnover.
The city is world-renowned for its array of design festivals, including the Abierto Mexicano de Diseño (Mexican Open Design), Design Week Mexico and City Mextrópoli. Mexico City identifies multi-stakeholder approaches as key levers in promoting design-driven action for the city. One example is the Mapatón project; the world's first crowd-sourced public experiment to help the local government map city bus routes. Coordinated by Lab for the City, residents, academics and games creators joined forces by designing an app that encouraged citizens to win prizes whilst mapping their own routes.
In 2013, a government experimental and creative office named Laboratorio para la Ciudad (Lab for the City) was established, becoming the very first programme of its kind in Latin America. It was set up with the aim of addressing social and urban issues through a creative, transdisciplinary and participatory lens. This initiative emphasises Mexico City's commitment to empower its citizens and give them an active role in shaping the city. The expected long-term mission of the Lab is to fully integrate creativity as a driver for the regeneration and development of sustainable urban living, with residents being empowered to contribute and work with the government in designing the city’s future.","Added Value: As a Creative City of Design, Mexico City envisages:
fostering the potential of creativity in all levels of the city to reinforce public policies by establishing the Mexico City Council for Urban Creativity and Contemporary Culture;
establishing a new cartography for the creative community to strengthen their role as both citizens and contributors to the city, including through the Ventanilla Única (One-Stop Window), a tool to allow citizens to design their own public spaces through an exercise of civic technology;
launching rooftop sessions, seminars and residencies to promote synergy between public, private and academic stakeholders in the field of design, in order to conduct collective research and coordinate efforts for more participatory approaches;
generating dialogues through the Rehearsing the City project, aimed at expanding the use of design as a tool in the city making process through transdisciplinary and layered urban interventions;
implementing the Urban Toys project; a public competition encouraging children to participate in the design of their own play environment, with a view to re-activate underused public spaces located in proximity of high densities of young population; and
collaborating actively with other Creative Cities to share best practices and knowledge to address common urban issues."
14,"About the Creative City:  
Located in Southeast Asia, Singapore is a modern, cosmopolitan and bustling city-state, where design has always played a significant role in its development. A densely populated city of 5.5 million inhabitants, Singapore’s urban design incorporates smart solutions to meet the needs of its citizens in terms of housing, healthcare, education and transportation. Design remains the key driver of the local creative economy by contributing annually about $2.13 million to the citystate’s GDP, with an estimated 5,500 active design enterprises employing up to 29,000 people.
To further spearhead the development of design, in 2003, the Ministry of Culture established the now prominent DesignSingapore Council; responsible for the design-related main programmes and events, including the Singapore Design Week (SDW). The SDW stimulates multi-stakeholder cooperation, as well as multidisciplinary approaches that are central to Singapore s vision of design based on social inclusion, environmental sustainability and well-being. 
Singapore has completed a master plan to work towards sustaining the design sector called the “DesignSingapore Council  II”. This initiative consisted of a three-pronged strategy. In a six-year period, the city has: strengthened local capacities of design professionals for the global competitive cluster, enabled small and medium-sized (SMEs) enterprises to leverage design as a driver for the city s economic and social sustainable growth, and developed innovation, research and development to enhance productivity and competitiveness of the sector at the international level.","Added Value: 
As a Creative City of Design, Singapore envisages: 
extending the training programmes of the Design Thinking & Innovation Academy, focusing on design as an enabler of sustainable growth, productivity and prosperity; 
addressing the specific needs of the elderly population throught the “Public Service Transformation” programme to adapt urban services and therefore enhance the quality of life of the elderly in the city; 
encouraging cross-disciplinary approaches through the implementation of the “National Design Centre – Cross-creative collaborations” workshops, mixing design with crafts and folk art and gastronomy; 
organizing an exhibition showcasing best practices and projects of the Creative Cities of Design, to serve as a dialogue platform while enhancing international networking for urban planners and designers; and 
promoting multidisciplinary projects, highlighting the contribution of design to global sustainable urban development."
16,"About the Creative City: Budapest, capital of Hungary with 1.7 million inhabitants, thrives from its creative industries, with an employment rate that has been annually increasing by 18% since 2007. The city is considered as an incubator for start-ups in the field of design, making it the fastest growing sector of the local creative economy, with a threefold increase of its gross added value in the last decade. Budapest has a comprehensive vision of design, which is seen as a driving force for sustainable urban development. 
While the city holds many major events dedicated to design, such as the Design Week Budapest and the Ajándék Terminál fair, the city mainly functions as a laboratory for innovation using design as a lever for fostering awareness towards urbanity and improving the quality of public spaces. The Design Terminal, the Hungarian University of Creative Arts (MKE) and the Moholy-Nagy University of Arts (MOME) are the most active in conducting programmes in this field with MOME implementing several transversal laboratories and research groups including Eco- Lab – sustainability, SocioLab – social construction, Design – tech and media, and Design – social sensitivity. In recent years, the city has also undertaken several research and mapping initiatives related to cultural industries. 
The Municipality works in close collaboration with civil society to better foster a good quality of urban life. Among other multi-stakeholders initiatives, the “Your place, your success!” campaign, the “I’ll be right back” project and the Culburbproject demonstrate the particular dynamism of the city in terms of reshaping neighbourhoods and suburbs in difficulties through cultural facilities and creative industries.","Added Value: As a Creative City of Design, Budapest envisages:
implementing an incubation programme for small and medium enterprises (SMEs) in the field of design, open to creative entrepreneurs from Budapest and other Creative Cities of Design;
fostering networking through the Made in the City initiative, aimed at establishing cross-cutting activities between creative fields covered by the Network;
involving other Creative Cities in Budapest’s major events, such as the Design Week Budapest, the Brain Bar Budapest and the Budapest 3D Printing Days, to share innovative ideas and experiences in connecting creativity, new technologies, and sustainable development; and
increasing the quality of urban life through the Smart City Lab, serving as a platform between civil society and public institutions for the systematic improvement of municipal urban planning."
27,"About the Creative City: A modern city with 92,000 inhabitants, Kolding is an important high-tech centre for Denmark and Northern Europe. Historically known for textile design and fabrication, as well as silver production, Kolding has become a vibrant creative hub. Grasping the need for innovative ways of enhancing social responsibility and of moving towards inclusive and responsive socio-economic development, the city has first-hand experience in applying design-driven innovation to the public services. As a result, design-driven processes have reduced the municipality's expenses by US$ 8 million each year from 2013 to 2015.
Kolding hosts a wide range of large-scale conferences and workshops aimed at questioning design and its role in modern society. The Social Impact Conference, which focuses on design for welfare and social innovation, and the international Design Meets Business Workshop, which discusses the value and benefits of design-led processes to businesses development and social life improvement. The city also established a business network for design companies aimed at promoting design as an innovative tool for competitiveness.
The Municipality launched a new vision for the community through the 'We Design for Life' campaign. With assistance from 900 participants in creating the detailed vision, it specifies that concerted efforts for design-driven solutions lead to a better life, entrepreneurship, social innovation and education. This strategy is based on design thinking methodologies, viewing the involvement of the citizens as preconditions for human-centred development. The vision aims to transform Kolding into a full-scale design thinking community by 2022 and to play a decisive role in developing the Nordic welfare system version 2.0.","Added Value: En tant que Ville créative de design, Kolding envisage de :
Organiser la Conférence sur l’impact social 2018 sur le thème « Impact social : conception de la protection sociale dans le secteur public » ;
Agrandir le quartier de Troldhedestien grâce à de nouvelles installations et activités, avec pour objectif d’attirer tous les citoyens, y compris les personnes souffrant de handicaps et les personnes issues de groupes défavorisés ou vulnérables ;
Transformer une zone piétonne de 300 mètres en destination durable verte/bleue 3.0, en recourant à des solutions associant durabilité et valeurs culturelles ;
Accueillir la Design Week 2018/2019 de Kolding, développée en partenariat avec des acteurs locaux et nationaux ;
Organiser la conférence New Nordic Design Thinking 2018, initiée par l’université du Danemark du Sud, Design School Kolding et la municipalité de Kolding en vue d’étudier la façon dont le design thinking scandinave peut déployer son potentiel au service du design et du leadership stratégiques ; et
Organiser la PPI Conference 2018/2019, qui présentera des pratiques exemplaires et permettra le partage de connaissances dans le domaine de l’innovation publique-privée."
37,"About the Creative City: Located on the southeast coast of the Persian Gulf, Dubai (pop. 2.7 million) is a cosmopolite city and the business hub of the Middle East. First city in the United Arab Emirates, Dubai has long asserted its role as the country's economic driver and technological hub. In transiting from an oil-based industry, Dubai aims to reinvent itself by harnessing creativity and innovation to develop a strong creativity-led economy. The city is engaged to build a comprehensive strategy through a systemic approach that fully acknowledges and values design, innovation and creativity, not only for economic growth, but also for social progress and urban quality of life enhancement.
Dubai has been facilitating the development of design through a wide range of events and festivals. The leading fair in the Middle East and South Asia, Downtown Design features Downtown Editions, which is dedicated to collectible and limited edition furniture design. International designers and gallerists take part to the event, providing many opportunities for Dubai's emerging design studios and young professionals. The Dubai Design Week also aims to shed the spotlight on Dubai's design community, covering multiple disciplines ranging from graphic design to urban architecture and industrial design.
Committed to place design and creativity at the heart of its policies, the Dubai Government completed the Dubai Design District (D3). The project aims to meet the needs amongst design practitioners, creative professionals and artists of the region, to formalise dedicated infrastructures supporting design and the cultural ecosystem as a whole. The D3 project plans to establish 500 creative enterprises, generating 10,000 new jobs. This initiative is part of the Dubai Design & Innovation Blueprint masterplan, built through strong partnership between the government, the private sector and institutional stakeholders, to leverage the city's creative potential.","Added Value: As a Creative City of Design, Dubai envisages:
establishing the Dubai Design and Innovation Academy, a life-long learning project aimed at preparing the future workforce in the field of design, innovation and cross-cutting approaches, by notably involving other members of the UCCN;
encouraging cross-sectorial collaborations through workshop programmes initiated by the Dubai National Design Innovation Centre;
using design to engage with the elderly population to address their needs and concerns through public service innovation; and
involving Creative Cities of Design in Dubai's programmes and events, including the Dubai International Design Innovation Festival."
38,"About the Creative City: Second city of the State of Victoria in Australia, with more than 240,000 inhabitants, Geelong has an important indigenous design heritage dating back 30,000 years and a modern industrial history of making textiles, chemicals and automotive and machinery components. Dusting off its industrial past, Geelong works towards becoming a global showcase for reinvention and clever design. The region is rapidly evolving with cutting-edge smart technology, industrial and urban design, advanced materials and a flourishing creative industries sector, accounting for 5.5% of the overall economic output for the region and 5,200 businesses. 
Geelong is enhanced with major cultural spaces and has a great number of facilities for events, entrepreneurial hubs, film production, online connectivif2ty and intelligent systems. The International Design Technology Conference (DesTech) is a flagship multidisciplinary space which draws upon an international network of designers and researchers to exchange and explore design's intersections. The event contributes significantly to the promotion of new technologies as well as cross-cutting design and creative thinking. 
Geelong has adopted clever design concept to reimagining urban places and aims to deliver a thriving city which is prosperous, liveable and socially inclusive. Adopted in 2013, the 10-year Public Art Strategy positions Geelong as the centre of innovation, leveraging the Municipality's strategies to enrich quality of life for residents, and strengthening the design aesthetic appeal of the city. Additionally, the citizen-led 30- year plan 'Our Future'greatly contributes in shaping Geelong as a clever and creative city, focussed on innovation, digital technologies, education, and importantly, artists, designers and creators.","Added Value:  As a Creative City of Design, Geelong envisages:
implementing Greening the Songline, revegetating the Songline pathway with indigenous flora planted within an overarching design;
integrating design thinking into all aspects of urban planning and development, as well as raising Geelong's international profile as a clever and creative city;
completing the Cultural Precinct through the redevelopment of the Geelong Performing Arts Centre, the Geelong Gallery and the Cultural Precinct streetscape; 
adding Augmented Reality to the suite of the already well-established portfolio of Arts and Culture Mobile Applications; 
creating a nexus across research, education and industry to create new employment opportunities for creative professionals, through the Australian Centre for Innovation and Design (ACID); 
supporting building a global design practice guide for the culturally appropriate representation of Indigenous design; and 
strengthening partnerships and collaboration with other Creative Cities to stimulate innovation, thought-leadership and knowledge exchange, notably through the DesTech Conference."
40,"About the Creative City: In Buenos Aires, creativity is seen as a key factor in economic and social development. The city has a consolidated creative sector that has grown rapidly in recent years. Between 2004 and 2012 the sector grew 89.1% in real terms and today represents up to 8.6 % of the city's GDP and 9.1 % of the city's workforce, employing almost 150,000 people.
 
The Ministry of Economic Development of Buenos Aires promotes the growth of the creative industries through a district development policy. It incorporates economic incentives to promote the establishment of creative industries in specific districts; undertakes major public works projects to redress inequalities in infrastructure and transport connectivity; and fosters the recovery of public areas for recreation and socialization. This policy is implemented in four underdeveloped neighborhoods, each devoted to a specific sector: technology, audiovisual, arts and design.
 
The Design District was created in 2014 to concentrate the city’s design industry and services in a specific territory and thus create a design intensive manufacturing cluster. The Metropolitan Design Center (CMD), established in the heart of this district, is the major design and industrial institution of the city. Its main objectives are to encourage private and public design-related initiatives; support the sector’s internationalization and contribute to turning Buenos Aires into a benchmark of design in Latin America. Additionally the CMD hosts the International Festival of Design, an event addressing professionals, students and the public at large which showcases sustainable and socially inclusive design.
 
Through public-private partnerships, Buenos Aires has been able to harness the energy of its design sector for the development of innovative initiatives on the local, regional and international levels. Spanning the fields of fashion, architecture, industrial, interior and urban design with a keen focus on incorporating the latest technology and know-how, Buenos Aires is a city that inspires design.","Added Value: As a Creative City of Design, Buenos Aires envisages:
positioning the city as an international reference for design and fostering the internationalization of the design sector;
promoting the creation and development of local creative industries and enhancing private and public initiatives related to the city’s design sector;
promoting creativity and creative expressions, especially among vulnerable groups and local communities; and
enhancing cooperation with other cities from the design subnetwork in particular and with the UCCN in general, to foster sustainable and inclusive development."
42,"About the Creative City: Located on the south coast of Thailand, the creative energy of Bangkok’s diverse population, inspired by surrounding multicultural treasures, is the city’s greatest asset. The blend of traditional and novel aesthetics form the fundamental ingredients of the city’s design evolution. Artisans, specialized suppliers and creative production communities fill the city, with more than 300,000 creative jobs recorded in 2017. For the city, design is the tool to leverage local wisdom and make Bangkok a resilient city coping with the 21st century’s challenges.
Decades of regional trade and design exhibitions sustain the flow of new ideas, including the renowned ASA Architect Expo and the product design fair STYLE Bangkok. Bangkok Design Week adds a new creative vibe, attracting audiences of all generations and acting as a collaborative platform promoting the importance of design. As a hub of design education, Bangkok is a home to eminent design professionals. Major design school research centers serve the public and private sectors in developing both policies and products. Rising urban architects and designers lead the city’s advance to an inclusive and sustainable future.
To ensure the long-term success of Bangkok design sector, several strategies aimed at improving the status of design professionals will be implemented. “Bangkok as a Green and Convenient City” and “Bangkok as a City for All” both contain action plans to develop urban spaces for community regeneration and to provide opportunities for designers to learn, meet, and advance global standards of accessibility. The city is not only investing in improving the lives of its local inhabitants but also the continuous professional development for local architects and designers. “Bangkok as an Economic and Learning Center” strategy intends to make the city one of the three leading innovative-cultural cities in the region by developing high-value products and services, as well as organizing programmes to educate entrepreneurs, and the creation of a globally-linked network.","Added Value: As a Creative City of Design, Bangkok envisages:
making design partnerships among all sectors as an essential component of sustainable urban development, including the revival of historic areas and the transformation of underused areas for the new purposes;
strengthening international cooperation by organizing a design week and an international forum, and by participating in the World Design Organization’s initiative;
developing a hub of creativity and local economic development through the Creative District Network;
promoting the creation, production and dissemination of design-related products and services through the mentioned initiatives; and
using design as a tool to enhance inclusiveness and to encourage citizen engagement."
45,"About the Creative City: Saint-Étienne is a constantly-changing city, driven by the relationship between art and industry for more than two centuries. From the industrial city to the visionary city, Saint-Etienne makes ""living together"" the common denominator of all its actions. It uses design as a developer and catalyst for the creative potential of all. Saint-Etienne is a UNESCO City of Design since 2010, strengthening a network strategy developed by the notoriety of its higher school of art and design, the success of the International Design Biennial since 1998, and the pole of excellence represented by La cité du design since 2005.
Saint-Étienne Metropole is the first French local authority to integrate, since 2010, a design management function in the design and implementation of its public policies. This approach helped to equip the area with design innovation tools focused on practice and experimentation. The action resulted in hundreds of achievements transforming the daily lives of companies, communities and citizens; thus highlighting the plurality of the design fields: service design, product design, digital design, graphic design, design and social innovation, and industrial design. Saint-Étienne Metropole won the Design Management Europe 2013 award, which rewarded the contribution of design management to the success of strategies of companies and public services from 17 European countries. These concrete long-term actions provide a clear design vision and make the Saint-Étienne area a fertile ground for innovation.
The city has many major institutions in the field of design such as La cité du design, Saint-Étienne Metropole Modern Art Museum, the Museum of Art and Industry, Le Corbusier’s Firminy Vert and even La Rotonde, center of scientific, technical and industrial culture. Finally, many opportunities for vocational training are offered in addition to the numerous major events organized in the field of design.","Added Value: As a Creative City of Design, Saint-Etienne envisages:
Disseminating a culture of design focused on customs and new lifestyles which place the human side at the heart of reflection;
Sharing experiences and good design practices;
Accelerating the development of the city;
Improving the quality of life of inhabitants;
Promoting designers and companies in the area;
Creating links between creative communities;
Forming a pole of expertise which aims to develop cooperation to make cities more human and more creative."
