,About the Creative City,Added Value
10,"About the Creative City: Located in the Sonoran Desert, Tucson has the longest agricultural history of any city in the United States of America. It has a 300-year tradition of vineyards, orchards, and livestock ranching that have forged the wide array of the local heritage foods, a source of identity and vitality for the local population of 1 million inhabitants. The distinctive cuisine of Tucson has developed from a culturally layered history, a variety of heri tage food ingredients, and a continuity of traditional food preparation techniques. To maintain its thriving culinary sector, the city focuses particularly on innovative programmes and regulations for food security and sustainable local food production and distribution.
Numerous farmers' markets and more than two dozen annual food festivals, fairs, and tastings occur year round and offer tastes of the region's specialities and food traditions. Often multidisciplinary, an event such as the Tucson Meet Yourself showcases performances of music, crafts and gastronomy, and attracts more than 100,000 participants each year. In addition, a thriving contemporary culinary scene is led by award-winning chefs and independently owned restaurants creating traditional and contemporary dishes using local foods, and is celebrated by film and book festivals.
Tucson is undoubtedly a model of a gastronomybased economy. It has however intensified actions toward using gastronomy as a key engine to achieve sustainable urban development. Building community gardens for public housing is just one of the many projects aiming to revise the city’s zoning regulations and remove barriers for urban food production and local food sales. The popular project saw the creation of home and community gardens, urban farms, greenhouses, farmers’ markets and small animal husbandry in residential areas.","Added Value: As a Creative City of Gastronomy, Tucson envisages:
establishing the Center for Food Justice, Security, and Innovation aimed to increase access to healthy foods, improve sustainable local food production and distribution, and expand job opportunities in food industry;
nurturing cross-cutting approaches by engaging Creative Cities of Gastronomy and Literature to the Food & Farm Writing and Literature International Forum, focusing on the promotion of consumption of healthy foods;
cooperating with other Creative Cities of Gastronomy on developing resources and strategies for conserving and disseminating heritage crop varieties, as well as promoting the use of culturally-appropriate, nutritious, regional foods; and
exchanging best practices on how to support artisanal local producers, the development of cooperatives and public markets, urban food production, conservation, and distribution."
25,"About the Creative City: The gastronomic story of Bendigo and the region is one of creativity, challenge, change and resilience. As well as being home to a 30,000 year old sustainable food system developed by Traditional Owners, the gold mining in 1851 brought waves of migrants from all over the world, including England, Ireland, Germany and China, to the city, creating a diverse cultural and heritage layer. Now regarded as a regional gastronomic hub, cultural and creative industries account for 13% of Greater Bendigo's employment, with over 6,000 people employed in creative industries and provide an economic benefit of around $US 1 billion for the area.
Home to over 130 wineries and breweries, gastronomic tourism forms a vital part of city’s economy, with food, wine, beer and cider events held throughout the year. Noticeably, over the last five years, the number of events addressing key areas in sustainability, food production, climate change, primary production and innovation have increased and become significant in creating awareness and a driver for change. Events including Farming for Sustainable Soils, Australian Community Food Hubs and ‘Drawdown’ all align with UN’s Sustainable Development Goals (SDGs) and provide key opportunities for people to come together to exchange knowledge and collectively address critical issues.
In response to the challenges and impact of climate change on the region, the city aims to rediscover its vital culinary culture and endorse sustainable living through a number of government and charity funded initiatives, including PepperGreen Farm. This not-for-profit social enterprise supports people with disabilities to gain skills and work experience through social and wellbeing activities focused on growing healthy food. Other voluntary schemes supporting sustainability with the gastronomic sector includes Foodshare, which collects and distributes food to relief charities and schools. By engaging in particular with a number of SDGs, Bendigo is focusing on healing its land and repairing the traditional food system, with the hope of creating a healthy and inclusive city.","Added Value: As a Creative City of Gastronomy, Bendigo envisages:
perserving knowledge and best practices from one of the world's oldest living culture and a sustainable food system thousands of years old;
creating an ideal 'living lab' for pilot projects and initiatives between different sectors, such as the CityStudio programme and the collaboration between council, citizens and universities to create an Internet of Things network;
sharing learnings internationally to help others adapt, mitigate and move towards more sustainable practices; and
ensuring placing culture and creativity at the heart of future plans."
30,"About the Creative City: Saint Petersburg is one of the largest administrative, scientific and educational centres of the Russia Federation. The city is famous not only for its majestic architecture, but also for its creative potential, in the development of which a significant contribution is made by 206 museums, 209 libraries, 136 theaters and concert halls, 60 cinemas and more than 90 cultural and leisure institutions. Saint Petersburg has historically been a multi-ethnic city, famous for its hospitality and openness, which is fully reflected in the nature of Saint Petersburg Cuisine, which draws from different culinary traditions. Today, gastronomy is one of the most dynamic areas of the city's life, striving not only to preserve the historical roots of Saint Petersburg Cuisine, but also to encourage the emergence of new culinary projects and initiatives. The city annually becomes a venue for major international and local gastronomic events, including the Saint Petersburg Restaurant Festival, the International Summer Festival 'Oh Yes! Food!', the traditional Maslenitsa festival and the International Gastronomic Festival MeGustro.","Added Value: As a Creative City of Gastronomy, the following steps will be important:
	• Ensuring the participation of other Creative Cities in the projects of the proposed action plan and promoting cross-cultural cooperation in the field of gastronomy, including in the framework of festivals and forums held in the city;
	• Promoting the creative status of culinary masters (the Governor's Cup 'The Best Chef of Saint Petersburg', the video magazine 'Tastes of St. Petersburg') and their professional development through international exchanges (the International Festival Saint Petersburg Gourmet Days); and
	• Promoting the development of Saint Petersburg Cuisine’ potential as a driver for development of small and medium-sized businesses (the project 'Saint Petersburg Cuisine', the Gastronomic Card ' Feel the taste of Saint Petersburg')."
36,"About the Creative City: With a population of over 1 million, the city of Thessaloniki is one of the largest cities in southeastern Europe and the second major economic, industrial, and commercial center in Greece. The local gastronomy has evolved over the centuries since the area has always been a crossroad of different cultures. The authentic flavors take off thanks to the fresh ingredients from the fertile land and rich sea, all locally sourced and in season, blessed by a Mediterranean climate. The world-famous Greek olive oil, dairy products such as feta and yogurt, as well as quality fresh ingredients, can be found in the city. According to the city’s most recent data, Thessaloniki hosts more than 5,000 businesses offering food services with an annual turnover of USD 430 million and with the sector employing over 50,000 employees.
 
Thessaloniki acknowledges that gastronomy plays a crucial role in valorizing cultural and creative assets, supporting innovation, strengthening the identity of the city, opening export markets, and expanding professional networks, among others. For these reasons, in 2011 the city launched the largest and longest-running gastronomic festival in Greece, the “Thessaloniki Food Festival”. The annual Festival has managed to gain the interest of the international gastronomy community. It runs throughout the year, conducting partnerships with several different bodies, organizations, and communities.","Added Value: As a Creative City of Gastronomy, the following steps will be important:
Strengthening international cooperation by launching an open call for joint activities with other UCCN member cities in the field of gastronomy;
Contributing to the development of creative hubs through the development of a gastronomy hub in the heart of the city;
Developing a series of educational programmes to improve access to cultural life for vulnerable groups;
Creating a mentoring programme for immigrants in gastronomy to foster social integration;
Strengthening the creation, production, distribution and dissemination of cultural activities, goods and services by enriching the annual function of the Thessaloniki Food Festival; and
Stimulating and enhancing the partnerships involving the public and private sectors and civil society through the farm to fork actions, with urban vineyards and gardens."
43,"About the Creative City: With its culturally rich history, the city of Bohicon has enormous potential linked to its tangible and intangible heritage, the most famous of which remains the underground village of Agongointo. The economic crossroads of Benin, Bohicon is famous for its cultural offerings, especially its gastronomy. The city is home to the multicity of the local dishes from Afitin, a condiment made of sumbala seeds, the basis seasoning of local sauces, to well-known Houawélio, a special fermented corn paste, which has been passed on from generation to generation. As a Creative City of Gastronomy, the city’s vision is to set up a genuine cultural industry around its local culinary specialties, and notably Bômiho. In light of this initiative, the city has organized a series of events, Local Tastes of Zou 2017 and 2019, to provide a platform for the exhibition of Bohicon’s traditional gastronomic heritage. Hotels, cafes, restaurants and bars are means for gastronomy to be a source of the city’s income, generating USD 506,024 each month. The establishment of a formal organization responsible for promoting and organizing the sector will further help overseeing the economic flow linked to these activities in the fields of culture and gastronomy. Moreover, the city intends to develop communication action plans around these areas. The city believes that the membership to the UCCN can contribute to the sector’s visibility and growth. The objective is to leverage the local gastronomy to highlight the cultural potential of the city in its future development.","Added Value: As a Creative City of Gastronomy, the following steps will be important: 
Strengthening international cooperation between member cities to make creativity an essential lever of urban development, in particular through partnerships involving the public sector, private sector and civil society;
Strengthening the creation, production, distribution and dissemination of cultural activities, goods and services at both local and international level;
Developing centres of creativity and innovation, and broadening the opportunities for creators and professionals in the cultural sector; and
Improving access to and participation in cultural life as well as the enjoyment of cultural goods and services, in particular for marginalized or vulnerable groups and people."
49,"About the Creative City: Located both on Santa Catarina Island and on the mainland, Florianopolis is known as “Brazil’s Quality of Life Capital”, the “Best Brazilian City for Entrepreneurship” and “Brazil’s Oyster Capital”.
 
Florianopolis’s designation as UNESCO Creative City of Gastronomy is as an extraordinary incentive for the city to promote sustainable development through the cultural industries and thus contribute to attracting investments and qualified human resources.
 
Florianopolis is committed to implementing two major innovative actions leading to the creation of the Gastronomy Observatory and the Cultural Innovation Lab. The first is designed to collect, analyze and make available information and knowledge from the gastronomy sector meanwhile the second will work on transversal actions combining crafts, design and gastronomy. Florianopolis is also engaged in formulating and implementing public policies for the development of the local creative economy. In particular, the city is focusing on the gastronomy sector, technical cooperation and exchange projects, as well as research and training programmes.","Added Value: As a Creative City of Gastronomy, Florianopolis envisages:
producing an annual food festival with the participation of ""guest chefs"" from other creative cities;
creating a biennial award given to the best restaurants in Florianopolis based on criteria that encourage the improvement of services and products;
publishing an annual guide of Florianopolis’s gastronomic offerings;
conducting, in parallel with the fifth Brazilian Design Biennial to be held in 2015, a workshop with experts on the theme of creative cooperation linking design, crafts, gastronomy and tourism. The goal is to design, develop and offer to the city's bars and restaurants innovative tools for the preparation and presentation of typical gastronomic dishes;
creating the Gastronomy Observatory intended to widen the circulation of information related to the food chain through the production, analysis and global dissemination of data; and
expanding academic exchange programmes for students from schools of gastronomy and professionals from the industry."
55,"About the Creative City: Known as the “The Cinderella of the Pacific”, Ensenada stretches for 125 kilometres down the beautiful Baja California Peninsula in Mexico. This coastal city, with over 460,000 inhabitants, is home to the nation’s second most important port area, connecting a maritime network of over 68 ports in 28 countries worldwide. Aside from being an ideal location for fishing and mariculture, Ensenada is the largest wine producer in the region, producing 90% of the country’s wine across than 500 labels and 50 wineries. This diversity of natural resources provides to the city’s gastronomic sector a momentum to flourish.
Ensenada’s vision of food and gastronomy is aligned with creativity, sustainability, innovation and intercultural dialogue. Among other initiatives, the Ensenada for Everyone festival brings together ethnic minorities and immigrant groups to share a diversity of gastronomic know-how. The city also focuses on nurturing sustainable and innovative food systems through advanced scientific research and urban programmes, such as the Urban Vertical Gardens programme aimed at alleviating local food security issues by raising awareness on environmental-friendly cultivation methods and locally grown crops.
With its thriving sectors of wine and fisheries, the city takes care to cultivate its leadership through multi-stakeholders programmes, including the Cluster del Vino, launched in 2008 by the Secretariat of Agriculture, Cattle, Rural Development, Fisheries and Food (SAGARPA). This programme aims to build bridges between local producers, research centres and governmental institutions, to work together and spearhead the development of common and innovative solutions related to sustainable management of natural and food resources.","Added Value: As a Creative City of Gastronomy, Ensenada envisages:
nurturing multi-stakeholder cooperatives and cross-cutting researches with other Creative Cities through the up-coming Laboratory of Cultural Innovation aimed at supporting research projects on social equality and environmental protection;
fostering the urban quality of life and sustainable consumption of food with the creation of Ensenada’s Gastronomic District, as well as of the Food and Urban Dinning Bank; an exchange platform aimed at reducing food waste and offering social-urban diners targeting the most vulnerable groups of the city;
developing the Gastronomic Landscape of Baja California programme to conduct research on regional cuisine, local ingredients and traditional know-how, and create an interactive online database with food production information and georeferenced environmental data;
nurturing the role of gastronomy in improving environmental preservation and sustainable urban development through fora, including the International Design and Gastronomy Forum, Ensenada Creative Mornings and the Food Design and Science World Forum; and
developing the International Culinary Exchange to implement a worldwide residence programme in Ensenada to engage with cooks, chefs and gastronomy experts from other Creative Cities of Gastronomy."
61,"About the Creative City: Overstrand Hermanus is situated in the Western Cape province of South Africa, about 100 km from Cape Town. With a population of 1,02,024, the city is part of the Overstrand region and is mostly commonly known for its exceptional whale watching opportunities. 
As well as being considered as the most scenic drive in the world, Overstrand Hermanus is an up and coming player in the wine industry, with the Hermanus Wine Route renowned for being the Pinot Noir haven of Hemel en Aarde Valley. Owing to this success, Overstrand Hermanus now hosts an annual Pinot Noir week, organized by the Hemel en Aarde Wine Association. This international celebration of wine invites experts from all over the world to taste, rate and enjoy local products. As well as celebrating regional wine, the city also organizes the ten-day annual FynArts Festival, of which a sizeable portion of the programme is devoted to promoting gastronomic arts.
The city uses its wine and food tourism industry as economic drivers for addressing the social-economic development challenges being currently faced. Various organization and government schemes, such as the Food Bank Project, have been setup to address these social problems by encouraging the communities to work in a more cohesive way. With support from both supermarkets and restaurants, this project aims to develop people’s understanding of food security through education, technology and food gardens, as well as promoting foraging within the local communities. By inspiring people to engage with the local gastronomic sector and ingredients, the city hopes to nurture young and aspiring chefs and other talent in this creative field.","Added Value: As a Creative City of Gastronomy, Overstrand Hermanus envisages:
elevating sustainability to the forefront of Hermanus’ Tourism and gastronomy practices;
reducing pressure on oceans resources by the creation of abalone farms;
providing knowledge-sharing and collaborative opportunities within the Network surrounding best practices; and
continuing to provide education and training opportunities for those in the gastronomic sector, with the aim of creating award-winning culinary excellence within the region."
65,"About the Creative City: Located on the western bank of the Pearl River Delta, where the river flows into the South China Sea, Macao sits with its to 650,000 inhabitants. Macao came under Portugal’s administration in the 16th century when it was an important trading hub. As a result, the city has become a diverse environment, combining eastern and western culture and home of the first ‘fusion food’ – the Macanese cuisine, now designated as Macao's intangible heritage by the local government. In 1999, China resumed the exercise of sovereignty over Macao and the Macao Special Administrative Region (SAR) was established. Macao identifies gastronomy a key lever for nurturing cultural diversity and supporting sustainable economic growth. 6.6% of the workforce in Macao is employed in the gastronomy field, of which 28.6% is represented by young people aged from 25 to 34.
Macao has an important experience in hosting large-scale gastronomy-related events such as the Macao Food Festival; a landmark event gathering local and international chefs and key sector stakeholders from across Asia and Europe. Celebrated for 16 editions, the festival continuously expands in scale, attracting an audience of over 800,000 in 2016. Other major festivals are the Lusofonia Festival, which promotes and exchanges cultural knowledge between Portuguese-speaking countries and regions, and the Myanmar & Southeast Asia Cuisine and Culture Festival.
To maximise the potential of gastronomy in socio-economic development, the local government has adopted a multi-pronged strategy aiming to promote the sustainability of local food culture, create opportunities for exchange with international stakeholders, enhance the working conditions within the sector, and nurture interest in the sector through education and training programmes targeting young people in particular. The SAR Government initiatives such as the Young Entrepreneurs Aid Scheme, as well as the Youth Entrepreneurs Incubation Centre, provide technical support, training, consultation and market intelligence for young creative entrepreneurs.","Added Value: As a Creative City of Gastronomy, Macao envisages:
collaborating with diverse associations and institutions to reassert the importance of a sustainable food culture and promote the local gastronomic heritage;
establishing a vocational education centre, aimed at supporting the emergence of creative talents in the gastronomy sector;
creating a Macanese gastronomy database in order to set standards for Macanese cuisine, generating wider awareness and contributing towards the sustainability of the culture and culinary identity of Macao;
holding the second edition of the International Film Festival and Awards Macao (IFFAM) to create synergy between film and gastronomy;
contributing financially to the UCCN and launching international students exchange programmes ;
continuing to host the International Gastronomy Forum Macao and extending participation to Portuguese-Speaking countries, harnessing long-term cooperation between Creative Cities of Gastronomy; and
inviting UCCN Cities to participate in the Macao Food Festival so as to promote their cities and gastronomy."
79,"About the Creative City: Tsuruoka’s history leads back to the Japanese Edo period over 400 years ago. Since then, remarkable gastronomical and agricultural traditions have developed in the region. The landscape surrounding the city offers a varied geographical landscape including sea, plains and mountains. This geographic diversity has resulted in an exceptional diversity of food being cultivated in the area surrounding Tsuruoka and includes foods such as mountain vegetables and mushrooms, rice, bamboo shoots, edamame (green soybeans) and seafood. Also unique to the city’s identity are spiritual traditions such as “Shugendo” on the Three Mountains of Dewa and the “Kurokawa Noh” play.
Food-related industries in Tsuruoka, such as agriculture and the food and drink services are promising sectors for the future of the city. Tsuruoka is also home to number of talents stemming from the city’s gastronomical tradition and includes well-known agriculturists and renowned chefs. Indeed, farmers, cooks and chefs are true creators and artists in Tsuruoka. Universities and research facilities also explore topics related to gastronomy, resulting, for instance, in studying and valuing indigenous crops as “living cultural assets”.   
Under the leadership of the Tsuruoka Creative City of Gastronomy Promotion Council, founded as a collaboration of citizens, industry, academia and government, Tsuruoka is currently encouraging the transmission of traditional cuisine and is promoting the production and use of indigenous crops.","Added Value: As a Creative City of Gastronomy, Tsuruoka envisages:
encouraging the preservation and promotion of indigenous crops and their use in traditional gastronomy so as to transmit this knowledge to future generations;
promoting collaboration between farmers, chefs and those who are engaged in related industries as well as research in order to enhance the region’s unique gastronomy; and
sharing experiences related to the promotion of Creative Cities. Tsuruoka is committed to interacting with other members of the UCCN in order to support the development of each member’s potential. "
