,About the Creative City,Added Value
3,"About the Creative City: Dunedin is New Zealand’s largest city by area and is renowned for its contrasting landscapes. It is a sprawling city that encompasses urban and rural communities. It is situated at the head of the Otago Harbour and stretches from the shores of the Pacific Ocean to the wilds of the Otago hinterland. This landscape has inspired poets and writers since the 19th century: including poet Thomas Bracken, author of New Zealand’s national anthem; Charles Brasch, founder of Landfall, the country’s foremost literary journal; and Janet Frame, internationally respected for her fiction and poetry.
In addition to Dunedin’s impressive publishing heritage, the city is also home to many nationally significant libraries and book collections including the Dunedin Public Library, New Zealand’s first free public library which was established in 1908. Additionally the Centre for the Book, opened in 2012, is a centre of excellence on book history and print culture, and investigates new platforms and models of book publication and distribution.
Throughout the year, literature-related events contribute to the city’s vibe such as the Dunedin Writers and Readers Festival, New Zealand Book Month and the Children’s Storylines Festival.","Added Value: As a Creative City of Literature, Dunedin envisages:
building strong partnerships – locally, nationally and internationally – by encouraging collaborations that stimulate new research and digital developments and sharing New Zealand’s literature across the world;
encouraging participation from everyone in the city, including individuals, business and institutions in imagining new communities of writing, reading and connecting people to place, sustaining community health and wellbeing; and
achieving “Manaakitanga” – a way of welcoming people to New Zealand, its literature and people."
15,"About the Creative City: An architectural pearl celebrated for its renowned, well-preserved historical centre featuring a unique collection of buildings registered on the UNESCO World Heritage List (1992), Prague is also a city with great intellectual and creative resources.
With its long and rich tradition of literature, Prague is home to an active and diverse contemporary literary scene. A multicultural book centre, Prague has one of the highest concentrations of bookshops in Europe and contains approximately 200 bookshops and 20 literary cafes. The city launched its first international poetry festival in 2004, becoming the Prague Microfestival in 2009. The Prague Writers’ Festival celebrates the Czech Republic’s writers and the International Literature and Theatre Festival, Deti Ctete (Children, do you read?) is one of Prague’s most successful festivals.
Prague aims to develop its longstanding book culture and literary tradition on a national and international level by hosting events related to national and international literature and literary studies.","Added Value: As a Creative City of Literature, Prague envisages:
enriching and expanding literary life in Prague and in other cities through collaborating with the UCCN in order to promote the exchange of experiences and best practices; and
promoting Prague’s rich cultural and literary history, its tradition of libraries and education, and its approach to contemporary literary events."
21,"About the Creative City: Exeter is a city in Devonshire, with a population of 130,000. Once a centre of world trade in the 1700s, the city is now considered an emerging creative tech and literary hub. As well as having a rich heritage linked with some of the country’s most famous writers, including Agatha Christie, Ted Hughes, Daphne du Maurier and Charles Causley, its 1,000-year-old Cathedral houses The Exeter Book, a 10th century anthology described as 'the foundation volume of English Literature'. Thanks to the city’s dedication to literacy promotion, small presses continue to thrive in the area, despite the market downturn in other regions, and now the local creative industry contributes over $US 17million gross value added to the City, as well as providing 2,750 jobs.
In order to promote and support literature within the region, The Exeter Literacy Festival, held for the first time in 2017, has become one of the major showcases for established and new literary talent, from local and nationwide authors. Through partnerships between local libraries and associations, including Creative Writing Matters, Exeter Author’s Association and The Historical Novel Society, Exeter aims to promote literature to a pan-generational audience and inspire future writers.
To ensure the continued growth and success of the literary market within Exeter, Arts Council England (ACE) is investing US$ 7million into 5 regional, literary organizations between 2018 and 2022, as well as offering project grants of £300k. This financial provision follows generous contributions in 2018, in which ACE national portfolio [NPO] funded Libraries Unlimited, an initiative which provided a literary outreach within city and countywide. ACE’s Business Plan to 2020 pledges to invest more into literature, specifically in the region. Furthermore, its public libraries are considered as a model to follow in the country.","Added Value: As a Creative City of Literature, Exeter envisages:
connecting readers and writers in the South-West region to all Creative Cities of Literature, transforming Custom House on Exeter’s Quayside as a Literature Hub, joining forces with the world network of such houses for writer exchanges;
enriching world literature through co-founding a Creative Writing Institute in East Africa, a partnership between the University of Exeter, Kwani Trust and National University of Rwanda;
enabling 10,000 residents to become healthy readers and writers through Wellbeing Words’ cultural prescribing model; sharing method and output internationally; and
engaging with international youths and forging new city partnerships through new writing challenges, by way of sharing creative solutions to climate change."
22,"About the Creative City: Located along the Tigris River and at the junction of historic trade roads, Baghdad is the capital of Iraq and the country’s largest city being home to more than 7.6 million inhabitants. Nominated as the 2013 Arab Capital of Culture, the city is acknowledged as one of the Arab region’s principal centres of literary creation and has gained a reputation as a vehicle to foster tolerance, understanding and peace. Being a city of diversity, the literature sector in Baghdad releases several monthly newspapers in three languages, namely Arabic, English and French.
With literary creation being at the core of the city’s cultural life, the Directorate of Cultural Relations allocates $US150,000 of its annual budget in support of literary events and women and young writers. Such funding enabled Baghdad to organize the first International Conference on Translations and the Nazik al-Malaika Award for women writers. Throughout the year, many poetry festivals, including al-Jawahiri Festival, are hosted in Baghdad with the genre of poetry being one of the leitmotivs in multiple literary events.
Baghdad benefits from state-owned and nongovernmental literary research centres and programmes such as: the Union of Iraqi Writers, the House of Cultural Affairs, the al-Mamoon House for Translation and Publishing, the Iraqi House of Poetry. These centres are involved in the promotion of literary creations, their dissemination through translations, the protection of the rights of writers, and the alleviation of illiteracy for sustainable development.","Added Value: As a Creative City of Literature, Baghdad envisages:
promoting cross-cutting ventures between the creative fields covered by the UNESCO Creative Cities Network, notably at the Spring of All Arts International Festival;
developing the Network of Baghdadi Cultural Houses aiming at strengthening the creation, production, distribution and dissemination of literary and cultural activities, goods and services;
enhancing the exchange of ideas and knowledge on poetry with the Creative Cities of Literature at the Baghdad International Poetry Festival and the Baghdad International Poetry Award; and
broadening cultural environments and opportunities for youth, in particular through poetry writing, to discover talents among the new generation."
32,"About the Creative City: Durban is the largest city of the KwaZulu-Natal province in South Africa, with over 3,442,400 inhabitants. Home to Luthuli – first African Nobel laureate –, Bessie Head, Mandela and Gandhi, the city was built on the pillars of learning and literacy despite the years of apartheid. In books and literature, Durban finds the possibility of dialogue, reconciliation and reconstruction. Durban hosts the University of KwaZula-Natal (UKZN); one of the country's highest-ranked and one of the few to offer a PhD in creative writing. The city also holds a strong independent publishing network, which offers a key platform for emerging literary voices.
Various fairs, festivals and conferences on literature are held locally, most notably the major Time of the Writer Literary Festival that has featured Nobel laureates for literature and writers from every African nation. Through the partnership with UKZN, the festival seeks to encourage the development of new writing talents, especially among the youth, and foster dialogue through discussions including human rights and inequalities reduction. The 2016 Ethekwini Creative Industries Summit also provided a key platform for artists and cultural professionals to discuss dealing with the challenges and opportunities within the existing local creative industry.
Durban recognises the crucial role literature, culture and creativity, have in forging national identity, fostering social cohesion and delivering socio-economic development. In this view, the Department of Arts and Culture has set up special bursaries for local writers to attend international festivals. In addition, in an effort to advocate for linguistic diversity, the KZN Provincial Language Policy promotes the equitable use of the city's official languages – English, Zulu, Xhosa and Afrikaans – within educational programmes.","Added Value: As a Creative City of Literature, Durban envisages:
organising the Africa International Literary Festival in tandem with the Durban International Book Fair to enhance best practices and involve advocacy stakeholders for literary industry;
organising the Festival of Children's Literature through well-resourced schools, promoting mother-tongue literatures and fighting low literacy levels amongst the youth;
strengthening cross-cutting approaches by linking the Durban Script-Writing Festival with the Durban International Film Festival;
promoting the Megazone Online Radio Station, bringing the voices of Durban writers to the world;
organising a translation workshop at the UKZN Department of Creative Writing, and the Department of Africa Literary Studies UKZN, seeking to translate English works into vernacular languages; and
enhancing international outreach of the Poetry Africa Festival by involving poets of different nationalities, notably from the UCCN."
39,"About the Creative City: In 2016, Wrocław, the fourth largest city in Poland, with around 1 million residents, had the honour of being named UNESCO World Book Capital. Today, the city is home to 60 bookshops and around 30 publishers, which annually implement over 300 literary projects. The municipal government is also heavily invested in Wrocław’s literary culture and by 2017, the city’s expenditure on culture had grown to US$ 39.5 million. Since 2014, 11 new cultural institutions have been established, including the Wrocław Literature House dedicated to literary activities.
Wrocław’s literary festivals are world renowned. Of these, the Wrocław Good Books Fair is a major national and international event, promoting quality fictions, while creating an opportunity to meet authors, and participate in lectures and workshops. It also hosts the most prestigious literature award ceremony in Poland. Another highlight of Wrocław’s literary calendar is the International Short Story Festival. This multidimensional celebration of short prose aims to promote the interaction between authors and their audience and acts as a platform for exchange between Polish and foreign writers.
The municipal government of Wrocław is investing significant energy in creating policies to promote the city’s literary heritage, as a result, several important programmes for literary creative industries were initiated during the preparation and implementation of the programme of European Capital of Culture (ECoC) and UNESCO World Book Capital. From 2016 onwards, literature and readership have been deeply incorporated into the city’s strategy of sustainable development through culture. Furthermore, the city is looking to use literature as a medium for inclusion for minority groups such as citizens over 60 and foreigners. From 2020, Wrocław will initiate a 4-year project of lectures on Polish literature, in English and Ukrainian, to ensure equal access to cultural goods and counteract xenophobia.","Added Value: As a Creative City of Literature, Wrocław envisages:
strengthening international cooperation between cities in the Network through collaborative and knowledge-exchange events;
sharing good practices in the area of cooperation between the public and private sectors through the Wrocław Publishing Programme;
sharing solutions to improve access to culture among vulnerable and marginalized groups; 
launching activities in Wrocław in the area of cross-city cooperation, enriching the field of culture and, as a result, enhancing the dissemination of cultural goods and services; and
implementing rigorously the Sustainable Development Goals in the trans-border region of Wrocław."
46,"About the Creative City: Beirut, the capital of Lebanon, has for centuries been a hotbed of literary production through writing, printing and distribution. The city inspires authors, including a growing number of women, and celebrates literature. It disseminates literature through academies, organizations and libraries, independent initiatives, workshops, residences, training and exhibitions. Accordingly, Beirut was named “World Book Capital” by UNESCO in 2009. In the field of literature, about 90% of the cultural offer is from Beirut.
The city hosts the Arab Book Fair every year, attended by 170 publishers and 35,000 visitors from the Arabic-speaking world. The Beirut Francophone Book Fair - the largest French-speaking literary fair after those of Paris and Montreal - has also been held since 1992. The Lebanese Book Festival is another event held annually since 1980, organized by the Antélias Cultural Movement.
To improve the status of writers and support literary production, the Municipality subsidizes literary organizations. In addition, the Phénix prize rewards the best work written in French. The Municipality further financially supports and sponsors literary fairs and organizations such as Assabil. In addition to the municipal libraries which have opened in Beirut as a result of the financing of building work by the Municipality, there are also mobile “Kotobus” libraries in circulation.","Added Value: As a Creative City of Literature, Beirut envisages:
improving creation, production, distribution, dissemination, access and participation in cultural output, in particular for the benefit of disadvantaged or vulnerable groups and people.
consolidating the collection of manuscripts, maps and ancient texts of the Bibliothèque Orientale (Oriental Library) and developing an Arabic typeface with its Latin equivalent for the city of Beirut;
supporting literary projects focused on the arts and inviting cultural institutions to participate in creative cooperation programmes between writers and artists from other disciplines;
organizing thematic congresses on the book professions through the consolidation of best practices from other creative cities;
starting a translation project with translation students, professionals and amateurs in order to adapt the texts of the creative cities of literature into Arabic.
fostering the mobility of authors in the creative cities space in order to promote writing residencies and co-productions;"
56,"About the Creative City: Capital of the Lombardia Region, Milan (pop. 1,368,590) is the centre of Italian publishing, representing 15% of the national book market. Milan has long asserted a rich literary tradition having been the home to Umberto Eco, Carlo Porta, Alessandro Manzoni, as well as Nobel laureates Eugenio Montale and Dario Fo. The city also inspired and attracted many renowned writers including Stendhal and Ernest Hemingway. The literature sector today is the economic backbone of Milan, hosting 51% of all Italian publishing firms, 35 literary agencies and over 20 active professional associations.
Through its literary events, Milan has developed an important expertise on responsible and strategic action for the future of the publishing sector. In 2012, it launched the Bookcity; an event devoted to discussing the transformation of the publishing industry in the digital era. Digital innovation is also at the core of Librinnovando; the annual national conference dedicated to the future of publishing, and the Engaging the Reader event; a free annual workshop organised by students featuring debates and conventions around the new utility of books and their place and role in a modern and digitalised world.
As part of its Smart City Strategy, Milan has been further reflecting on the digital value for literature, notably through the BooksinItaly.it initiative. To promote literature as a socio-economic driver, the municipality has been working closely with the private sector. An example of this cooperation is the Patto di Milano per la Lettura (Milan Pact for Reading) project which has helped restoring value to the act of reading as an essential part of citizenship. Milan also played a key role in the creation of Città del Libro; a network of Italian Cities of Books promoting literature and reading as a mean to improve quality of life, social inclusion and economic growth.","Added Value: As a Creative City of Literature, Milan envisages:
equipping the city of Milan with an evolving series of maps documenting and monitoring the system of literary and editorial production;
using reading as a tool for social inclusion by developing training events targeting vulnerable and disadvantaged groups;
strengthening dialogue between the different creative sectors of the city through special cross-cutting initiatives;
creating a laboratory, in partnership with other Creative Cities of Literature, aimed at monitoring the evolution of new opportunities offered by both the paper and digital publishing industry to the job market;
developing the Places to Read initiative, aimed at monitoring new employment opportunities in the field of literature; and
implementing an action-oriented initiative across Creative Cities of Literature to map cultural hubs, providing artistic residencies to young authors."
57,"About the Creative City: With its 600,000 residents, the port city of Gothenburg is one of Europe’s fastest-growing metropolitan areas. Its creative industry is developing rapidly, with 2,500 creative enterprises and with Gothenburg Book Fair (GBF) as its engine. GBF is one of the world’s largest international book fairs designed for both the publishing industry and the public. In addition, Swedish literature exports have tripled over the past ten years. Given its size, Gothenburg has an impressive literary infrastructure that is nourished by grass-roots initiatives and the strongly entrenched Nordic traditions of free speech, democracy, adult education and publicly-funded culture. It is also Sweden’s largest university town, with 60,000 students and a master’s programme in literary composition. The city has both the intellectual and financial prerequisites that allow its residents to think and create freely. West Sweden, where the city is located, hosts an exciting array of festivals and book fairs. Gothenburg is connected with its literary history via the digital map Litteraturkartan.se. The city is also home to a dense mix of libraries, clubs, associations and venues, including Gothenburg House of Literature, where writers have the chance to meet and develop. Gothenburg has been a City of Refuge for persecuted writers and artists since 1996 and is proud of ICORN author and 2015 Nobel Prize Winner Svetlana Alexievich, among other ICORN artists.","Added Value: As a Creative City of Literature, the following steps will be important: 
Promoting reading aloud to improve reading skills by developing the city’s equality-promotion project ‘The City Where We Read to Our Children’ locally and internationally;
Developing strategies for promoting free speech in a new era;
Exploring links between writing, reading and better health;
Removing obstacles to reading by increasing libraries’ audiobook users;
Increasing literature’s visibility in the public space;
Raising foreign-born local writers’ and readers’ status and establishing a transnational Jewish-literature network; and
Arranging international exchanges to benefit the public, writers and creative industries."
59,"About the Creative City: Founded 2,500 years ago in the region at the confluence of the Yellow River and Yangtze River, Nanjing served as China's capital for six dynasties for over 500 years. It boasts an ancient literary tradition that includes China's first literary academy and the world's largest reference work, the Imperial Encyclopaedia. Over 10,000 literary works have been written in or on Nanjing, including the Chinese classic “Dream of the Red Chamber” and Nobel laureate Pearl Buck's masterpiece “The Good Earth”.
Nanjing locals are known as bibliophiles and their city is home to Librairie Avant-Garde, regarded by many as one of the world's most beautiful bookstores. ""Book Bars"" along the ancient City Wall give new life to the city's heritage. The Qinhuai Lantern Festival attracts millions of visitors for poetry recitals and riddles. Nanjing Book Fair is held every March and programmes like the Half-city Book Club, one of China's most popular women's reading groups, ensure gender equal access to literature.
In 2018, Nanjing issued a development plan for the next 20 years in line with the UN’s 2030 Agenda for Sustainable Development to further develop cooperation, building on its creative and literary capital while supporting its environmental goals. Nanjing is also one of China’s key economic centres, with cultural industries playing an essential role in its development. The city also hosts the country’s top publishing group and best translation publisher. To promote growth in literature, the municipality has established a special fund for literary and cultural creativity.","Added Value: As a Creative City of Literature, Nanjing envisages:
promoting the UCCN objectives through cooperation and exchange notably in literature;
contributing to nurturing the diversity of the Creative Cities Network and building long-term partnerships between world cities through the Literary Diversity and Urban Sustainability Forum;
cultivating the next generation of cultural frontrunners by encouraging transversal partnerships;
promoting literary exchange with dedicated funds for translation and the Resident Writers Programme; and
expanding the “Window to World Literature” initiative across different world regions to promote the Network's vision and international exchange."
